| Day                            | Time                           | Campus                         | Building & Room                |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 3:50 PM - 5:10 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 7:30 PM - 8:50 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Thursday                       | 8:30 AM - 9:50 AM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Thursday                       | 10:20 AM - 11:40 AM            | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Thursday                       | 12:10 PM - 1:30 PM             | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Thursday                       | 2:00 PM - 3:20 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Thursday                       | 3:50 PM - 5:10 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Friday                         | 8:30 AM - 9:50 AM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Friday                         | 10:20 AM - 11:40 AM            | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | BLC-142                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Monday                         | 10:20 AM - 11:40 AM            | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Monday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Monday                         | 2:00 PM - 3:20 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Monday                         | 3:50 PM - 5:10 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Tuesday                        | 8:30 AM - 9:50 AM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Tuesday                        | 10:20 AM - 11:40 AM            | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Tuesday                        | 3:50 PM - 5:10 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Tuesday                        | 5:40 PM - 7:00 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Wednesday                      | 12:10 PM - 1:30 PM             | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Wednesday                      | 2:00 PM - 3:20 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Wednesday                      | 3:50 PM - 5:10 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Thursday                       | 8:30 AM - 9:50 AM              | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Thursday                       | 10:20 AM - 11:40 AM            | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Thursday                       | 12:10 PM - 1:30 PM             | Busch                          | ARC-309                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Friday                         | 12:10 PM - 1:30 PM             | Busch                          | ARC-103                        |
| Thursday                       | 2:00 PM - 3:20 PM              | Busch                          | ARC-309                        |
