Building/Room       Class Times              Professor Names               
ARH-100             2:00 PM - 3:20 PM        SABINA, CHIARA; BANYARD       
ZAM-MPR             10:20 AM - 11:40 AM      SCHNETZER                     
ZAM-EDR             10:20 AM - 11:40 AM      HOLLOWAY                      
ZAM-EDR             2:00 PM - 3:20 PM        SHENDELL, DEREK               
ZAM-MPR             2:00 PM - 3:20 PM        SHENDELL, DEREK               
ZAM-MPR             2:00 PM - 3:20 PM        SHIELDS                       
AB-4450             2:00 PM - 3:20 PM        SPAETH, ANDREA                
AB-4450             10:20 AM - 11:40 AM      YOUSEFIAN                     
ZAM-MPR             3:50 PM - 5:10 PM        YU, LEI                       
ZAM-MPR             3:50 PM - 5:10 PM        HEUMANN, MILTON               
ZAM-MPR             3:50 PM - 5:10 PM        QUINCY, RONALD                
ZAM-MPR             3:50 PM - 5:10 PM        KULIKOWSKI                    
VH-104              3:50 PM - 5:10 PM        BOWERS, JEROME                
VH-104              3:50 PM - 5:10 PM        KASATKIN; TRUJILLO            
ZAM-MPR             7:30 PM - 8:50 PM        GREENSPAN                     
ZAM-MPR             7:30 PM - 8:50 PM        MATTO                         
ZAM-EDR             7:30 PM - 8:50 PM        MANENTE; BAL, VANESSA         
VH-001              7:30 PM - 8:50 PM        WANG; OCAMPO, LOUIE           
AB-2200             5:40 PM - 7:00 PM        MCCROSSIN                     
SEC-206             5:40 PM - 7:00 PM        EVANS, JOHN                   
LSH-A140            10:20 AM - 1:20 PM       REGUS, MARJORIS               
RMH-209             2:00 PM - 3:20 PM        WICKHAMSMITH                  
RMH-002             2:00 PM - 3:20 PM        KUCHI, TRIVENI                
SEC-220             2:00 PM - 3:20 PM        CHARLES, LESLIN               
NIH-112             2:00 PM - 3:20 PM        RAMSAMY, EDWARD               
RWH-102             8:30 AM - 9:50 AM        LATH, AMITABH                 
NH-B417             8:30 AM - 9:50 AM        LYDON, SHARON; MACHIN         
SEC-204             10:20 AM - 11:40 AM      ARMOUR; SILENZIO              
