Class Name                                        Building/Room       Class Times              Professor Names               
01:070:299                                        FOR-191B            2:00 PM - 3:20 PM        GHASSEM-FACHAND               
CURRENT ISSUES IN ANTHROPOLOGY                    LSH-A256            10:20 AM - 11:40 AM                                    
01:070:303                                        LSH-A256            2:00 PM - 3:20 PM        SELIM, SAMAH                  
WEALTH AND CULTURE                                BIO-205             2:00 PM - 3:20 PM        ALI, JAMAL                    
01:070:307                                        HCK-118             12:10 PM - 1:30 PM       ALI, JAMAL                    
MEDICAL ANTHROPOLOGY                              HCK-118             2:00 PM - 3:20 PM        HABBAL, MANAR                 
01:070:313                                        BIO-302             2:00 PM - 3:20 PM        MOHAMED, JEHAN                
HISTORICAL ARCHAEOLOGY                            BIO-206             12:10 PM - 1:30 PM       ALI, JAMAL                    
01:070:314                                        SC-204              12:10 PM - 1:30 PM       HABBAL, MANAR                 
PREHISTORIC FUNERARY ARCHAELOGY                   SC-204              12:10 PM - 1:30 PM       KASHOU, HANAN                 
01:070:317                                        MU-212              12:10 PM - 3:10 PM       KASHOU, HANAN                 
METH ANALY CULT ANTH                              MU-212              10:20 AM - 1:20 PM       MANOUKIAN                     
01:070:321                                        HH-B5               2:00 PM - 5:00 PM        MANOUKIAN                     
LATINO ETHNOGRAPHY                                HH-B5               2:00 PM - 5:00 PM        TURKER CERDA; THUNO, ERIK     
01:070:342                                        RAB-209A            2:00 PM - 3:20 PM        BROWN, THOMAS                 
URBAN ECOLOGIES                                   RAB-209A            2:00 PM - 3:20 PM        BROWN, THOMAS                 
01:070:362                                        SC-206              5:40 PM - 7:00 PM        YANTZ, JAYNE                  
EVOLUTION OF HUMAN DIET                           SC-206              5:40 PM - 7:00 PM        BAILEY                        
01:070:390                                        SC-219              10:20 AM - 11:40 AM      FEE, FRANCHESCA               
FOSSIL HOMININ ANATOMY                            SC-219              10:20 AM - 11:40 AM      LANDSBERG                     
01:070:490                                        SC-219              5:40 PM - 8:40 PM        WEITZMAN, MARGO               
PREPARATION FOR HONORS THESIS                     SC-219              2:00 PM - 5:00 PM        BROWN, THOMAS                 
01:070:495                                        MU-211              3:50 PM - 5:10 PM        KHIMASIA, ANNA                
IND STUDY IN ANTHRO                               MU-211              3:50 PM - 5:10 PM        KHIMASIA, ANNA                
01:070:496                                        MU-112              2:00 PM - 3:20 PM        RODRIGUEZ                     
IND STUDY IN ANTHRO                               SPR-403             2:00 PM - 3:20 PM        SIDLAUSKAS                    
01:070:497                                        SPR-403             10:20 AM - 11:40 AM      THOMAIDIS                     
HONORS IN ANTHROPOLOGY                            AB-1180             10:20 AM - 11:40 AM      KNIGHT                        
01:070:498                                        AB-1180             10:20 AM - 11:40 AM      PAUL, BENJAMIN                
HONORS IN ANTHRO                                  ARH-100             10:20 AM - 11:40 AM      DELOSSANTOS                   
01:070:499                                        ARH-100             10:20 AM - 11:40 AM      RICO                          
INDEPENDENT STUDY                                 ARH-100             10:20 AM - 11:40 AM      WOODHOUSE-BEYER               
01:074:120                                        ARH-100             10:20 AM - 1:20 PM                                     
LITERARY EGYPT                                    ARH-100             2:00 PM - 5:00 PM        YANNI, CARLA                  
01:074:140                                        ARH-100             2:00 PM - 5:00 PM                                      
ELEMENTARY ARABIC I                               ZAM-MPR             10:20 AM - 11:40 AM                                    
01:074:141                                        ZAM-EDR             10:20 AM - 11:40 AM      COUTAVAS                      
ELEMENTARY ARABIC II                              ZAM-EDR             10:20 AM - 1:20 PM       AHMED, ZEESHAN                
01:074:240                                        ZAM-MPR             10:20 AM - 11:40 AM      CAI, LI                       
INTERMEDIATE ARABIC I                             ZAM-MPR             10:20 AM - 11:40 AM      CHATLOS, JOHN; STEIN, LYRA    
01:074:340                                        AB-4450             2:00 PM - 5:00 PM        CURRY                         
ADVANCED ARABIC I                                 AB-4450             5:40 PM - 7:00 PM        DOLL                          
01:078:115                                        ZAM-MPR             5:40 PM - 7:00 PM        GLASS, ARNOLD                 
ELEMENTARY ARMENIAN I                             ZAM-MPR             10:20 AM - 1:20 PM       JAVIAN, ANI                   
01:082:105                                        ZAM-MPR             10:20 AM - 1:20 PM       KNIGHT, DOYLE                 
INTRODUCTION TO ART HISTORY: PREHISTORY TO 1400   ZAM-MPR             3:50 PM - 5:10 PM        LIU, ALICE; GUNDERSON         
01:082:106                                        VH-104              3:50 PM - 5:10 PM        LIU, XIANGMIN; YI, JINGANG    
INTRODUCTION TO ART HISTORY:1400 TO THE PRESENT   VH-104              3:50 PM - 5:10 PM        MAXWELL, JULIA                
01:082:202                                        ZAM-MPR             3:50 PM - 5:10 PM        MAZZEO, AARON                 
INTRODUCTION TO CONTEMPORARY ART                  ZAM-MPR             12:10 PM - 1:30 PM       MCDONOUGH                     
01:082:220                                        ZAM-EDR             12:10 PM - 1:30 PM       LIVELLI                       
CRITICAL ISSUES IN ART HISTORY                    VH-001              5:40 PM - 7:00 PM        ADAMO, LAUREN                 
01:082:230                                        AB-2200             5:40 PM - 7:00 PM        ORDWAY, SCOTT; FREYTAG, ANETTE
